State,County,Year,Days with AQI
Alabama,Baldwin,2023,170
Alabama,Clay,2023,155
Alabama,DeKalb,2023,212
Alabama,Elmore,2023,118
Alabama,Etowah,2023,181
Alabama,Jefferson,2023,182
Alabama,Madison,2023,181
Alabama,Mobile,2023,178
Alabama,Montgomery,2023,150
Alabama,Morgan,2023,181
Alabama,Russell,2023,176
Alabama,Shelby,2023,120
Alabama,Sumter,2023,179
Alabama,Tuscaloosa,2023,181
Alaska,Anchorage ,2023,182
Alaska,Denali ,2023,220
Alaska,Fairbanks North Star ,2023,182
Alaska,Juneau ,2023,180
Alaska,Matanuska-Susitna ,2023,176
Arizona,Apache,2023,272
Arizona,Cochise,2023,273
Arizona,Coconino,2023,273
Arizona,Gila,2023,273
Arizona,La Paz,2023,272
Arizona,Maricopa,2023,274
Arizona,Mohave,2023,265
Arizona,Navajo,2023,271
Arizona,Pima,2023,273
Arizona,Pinal,2023,273
Arizona,Santa Cruz,2023,268
Arizona,Yavapai,2023,272
Arizona,Yuma,2023,273
Arkansas,Arkansas,2023,90
Arkansas,Ashley,2023,89
Arkansas,Clark,2023,210
Arkansas,Crittenden,2023,272
Arkansas,Garland,2023,76
Arkansas,Jackson,2023,91
Arkansas,Newton,2023,273
Arkansas,Polk,2023,212
Arkansas,Pulaski,2023,274
Arkansas,Union,2023,90
Arkansas,Washington,2023,273
California,Alameda,2023,213
California,Amador,2023,150
California,Butte,2023,181
California,Calaveras,2023,181
California,Colusa,2023,269
California,Contra Costa,2023,213
California,Del Norte,2023,163
California,El Dorado,2023,181
California,Fresno,2023,243
California,Glenn,2023,149
California,Humboldt,2023,233
California,Imperial,2023,191
California,Inyo,2023,273
California,Kern,2023,240
California,Kings,2023,212
California,Lake,2023,104
California,Los Angeles,2023,212
California,Marin,2023,213
California,Mariposa,2023,243
California,Mendocino,2023,90
California,Mono,2023,181
California,Monterey,2023,213
California,Nevada,2023,181
California,Orange,2023,182
California,Placer,2023,212
California,Plumas,2023,181
California,Riverside,2023,243
California,Sacramento,2023,241
California,San Benito,2023,242
California,San Bernardino,2023,243
California,San Diego,2023,271
California,San Francisco,2023,213
California,San Joaquin,2023,138
California,San Luis Obispo,2023,181
California,San Mateo,2023,213
California,Santa Barbara,2023,182
California,Santa Clara,2023,213
California,Santa Cruz,2023,212
California,Shasta,2023,242
California,Siskiyou,2023,90
California,Solano,2023,218
California,Sonoma,2023,213
